date,product_id,product_name,category,category_encoded,price,stock_purchased,quantity_sold,stock_wasted,stock_remaining,promotion_active,day_of_week,month,quarter,is_weekend,is_holiday,holiday_impact,temperature,humidity,precipitation,weather_condition,store_id
2024-01-01,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,257,103,9,145,False,0,1,1,False,False,0,32.0,67,0.4,Clear,STORE_001
2024-01-01,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,103,75,2,26,False,0,1,1,False,False,0,32.0,67,0.4,Clear,STORE_001
2024-01-01,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,82,56,1,25,True,0,1,1,False,False,0,32.0,67,0.4,Clear,STORE_001
2024-01-01,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,38,28,0,10,False,0,1,1,False,False,0,32.0,67,0.4,Clear,STORE_001
2024-01-01,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,36,23,0,13,False,0,1,1,False,False,0,32.0,67,0.4,Clear,STORE_001
2024-01-02,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,100,80,2,18,False,1,1,1,False,False,0,28.8,82,0.1,Clear,STORE_001
2024-01-02,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,75,55,1,19,False,1,1,1,False,False,0,28.8,82,0.1,Clear,STORE_001
2024-01-02,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,139,54,2,83,True,1,1,1,False,False,0,28.8,82,0.1,Clear,STORE_001
2024-01-02,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,78,49,1,28,True,1,1,1,False,False,0,28.8,82,0.1,Clear,STORE_001
2024-01-02,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,59,37,0,22,True,1,1,1,False,False,0,28.8,82,0.1,Clear,STORE_001
2024-01-03,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,117,80,3,34,False,2,1,1,False,False,0,25.6,52,0.4,Cloudy,STORE_001
2024-01-03,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,122,60,4,58,False,2,1,1,False,False,0,25.6,52,0.4,Cloudy,STORE_001
2024-01-03,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,72,50,0,22,False,2,1,1,False,False,0,25.6,52,0.4,Cloudy,STORE_001
2024-01-03,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,52,42,0,10,False,2,1,1,False,False,0,25.6,52,0.4,Cloudy,STORE_001
2024-01-03,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,38,26,0,12,False,2,1,1,False,False,0,25.6,52,0.4,Cloudy,STORE_001
2024-01-04,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,210,87,7,116,False,3,1,1,False,False,0,32.1,59,0.1,Clear,STORE_001
2024-01-04,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,91,63,3,25,False,3,1,1,False,False,0,32.1,59,0.1,Clear,STORE_001
2024-01-04,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,81,56,0,25,False,3,1,1,False,False,0,32.1,59,0.1,Clear,STORE_001
2024-01-04,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,46,33,0,13,False,3,1,1,False,False,0,32.1,59,0.1,Clear,STORE_001
2024-01-04,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,41,27,0,14,False,3,1,1,False,False,0,32.1,59,0.1,Clear,STORE_001
2024-01-05,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,123,77,4,42,False,4,1,1,False,False,0,33.2,56,0.1,Cloudy,STORE_001
2024-01-05,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,84,64,1,19,False,4,1,1,False,False,0,33.2,56,0.1,Cloudy,STORE_001
2024-01-05,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,77,56,1,20,False,4,1,1,False,False,0,33.2,56,0.1,Cloudy,STORE_001
2024-01-05,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,50,39,0,11,False,4,1,1,False,False,0,33.2,56,0.1,Cloudy,STORE_001
2024-01-05,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,39,26,0,13,False,4,1,1,False,False,0,33.2,56,0.1,Cloudy,STORE_001
2024-01-06,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,213,113,5,95,False,5,1,1,True,False,0,29.2,89,0.7,Cloudy,STORE_001
2024-01-06,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,162,106,3,53,True,5,1,1,True,False,0,29.2,89,0.7,Cloudy,STORE_001
2024-01-06,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,86,61,1,24,False,5,1,1,True,False,0,29.2,89,0.7,Cloudy,STORE_001
2024-01-06,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,65,52,0,13,False,5,1,1,True,False,0,29.2,89,0.7,Cloudy,STORE_001
2024-01-06,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,45,31,0,14,False,5,1,1,True,False,0,29.2,89,0.7,Cloudy,STORE_001
2024-01-07,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,199,137,3,59,True,6,1,1,True,False,0,24.4,69,0.4,Clear,STORE_001
2024-01-07,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,127,99,1,27,False,6,1,1,True,False,0,24.4,69,0.4,Clear,STORE_001
2024-01-07,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,86,71,0,15,False,6,1,1,True,False,0,24.4,69,0.4,Clear,STORE_001
2024-01-07,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,73,61,0,12,False,6,1,1,True,False,0,24.4,69,0.4,Clear,STORE_001
2024-01-07,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,54,36,0,18,False,6,1,1,True,False,0,24.4,69,0.4,Clear,STORE_001
2024-01-08,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,141,103,4,34,False,0,1,1,False,False,0,32.2,77,0.6,Cloudy,STORE_001
2024-01-08,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,69,50,1,18,False,0,1,1,False,False,0,32.2,77,0.6,Cloudy,STORE_001
2024-01-08,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,80,44,1,35,False,0,1,1,False,False,0,32.2,77,0.6,Cloudy,STORE_001
2024-01-08,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,78,56,0,22,True,0,1,1,False,False,0,32.2,77,0.6,Cloudy,STORE_001
2024-01-08,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,39,28,0,11,False,0,1,1,False,False,0,32.2,77,0.6,Cloudy,STORE_001
2024-01-09,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,108,79,2,27,False,1,1,1,False,False,0,21.9,72,0.5,Clear,STORE_001
2024-01-09,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,111,86,2,23,False,1,1,1,False,False,0,21.9,72,0.5,Clear,STORE_001
2024-01-09,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,97,44,1,52,False,1,1,1,False,False,0,21.9,72,0.5,Clear,STORE_001
2024-01-09,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,46,29,0,17,False,1,1,1,False,False,0,21.9,72,0.5,Clear,STORE_001
2024-01-09,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,35,26,0,9,False,1,1,1,False,False,0,21.9,72,0.5,Clear,STORE_001
2024-01-10,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,155,68,10,77,False,2,1,1,False,False,0,25.0,91,0.2,Cloudy,STORE_001
2024-01-10,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,114,88,3,23,False,2,1,1,False,False,0,25.0,91,0.2,Cloudy,STORE_001
2024-01-10,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,78,40,0,38,False,2,1,1,False,False,0,25.0,91,0.2,Cloudy,STORE_001
2024-01-10,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,98,36,1,61,False,2,1,1,False,False,0,25.0,91,0.2,Cloudy,STORE_001
2024-01-10,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,36,25,0,11,False,2,1,1,False,False,0,25.0,91,0.2,Cloudy,STORE_001
2024-01-11,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,102,73,2,27,False,3,1,1,False,False,0,26.7,61,0.4,Cloudy,STORE_001
2024-01-11,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,81,58,2,21,False,3,1,1,False,False,0,26.7,61,0.4,Cloudy,STORE_001
